timestamp,ticker,open_price,high_price,low_price,close_price,volume
7/10/2023,ETH,18183.51,18437.43,17735,18153.84,1434680.31
10/12/2023,ADA,10996.2,11577.4,10606.2,11399.97,1379450.69
10/25/2023,BTC,9185.76,9211.59,8713.13,9169.36,1728618.04
1/4/2023,XRP,3606.26,3671.02,3376.37,3655.13,1627011.44
6/30/2023,XRP,4981.22,5187.52,4844.81,4894.36,475537.32
9/22/2023,ETH,22124.06,22580.54,21568.15,22554.48,1636743.31
11/1/2023,XRP,2800.27,2852.86,2684.94,2812.65,20003.65
9/2/2023,ETH,19791.11,21326.28,19401.88,21314.86,1334108.58
11/10/2023,ETH,18095.23,18949.99,16833.19,17608.81,1619297.3
8/26/2023,ETH,16868.69,17703.53,15736.18,16789.33,365378.74
2/25/2023,XRP,3693.12,3817.76,3432.07,3780.12,1477823.58
9/2/2023,XRP,3766.55,3777.93,3540.74,3708.93,273824.66
7/16/2023,ETH,18288.48,18595.13,17193.19,18057.93,1780269.11
7/21/2023,ADA,8915.04,9072.7,8637.88,8954.5,1219022.99
8/28/2023,BTC,9038.23,9186.76,8896.72,9015.3,214059.85
9/8/2023,ADA,10736.14,10969.3,10703.21,10928.49,1075920.45
1/12/2023,LTC,18405.41,18732.62,18334.41,18646.11,247883.48
7/26/2023,LTC,19099.85,19918.78,18363.35,19546.97,433396.75
7/30/2023,LTC,18603.69,19976.41,17487.6,17980.08,1692225.52
8/1/2023,BTC,8994.04,9520.73,8950.27,8973.33,1523183.28
3/28/2023,LTC,18877.84,19738.16,18792.3,18962.94,564806.45
7/30/2023,ADA,8915.36,9592.08,8290.21,8805.42,423399.04
3/22/2023,LTC,18944.7,20051.79,17853.01,18415.87,32261.34
12/6/2023,ETH,15526.16,16640.03,15118.34,16466.13,794393.21
10/26/2023,BTC,9160.33,9798.55,9112.6,9488.87,271094.7
6/23/2023,BTC,9159.87,9402.48,8642.21,9364.7,1236942.92
12/12/2023,ETH,17299.05,17376.45,16653.41,17159.26,226809.73
11/21/2023,BTC,7844.93,8275.42,7429.72,8249.76,1519360.77
2/18/2023,ETH,27955.17,28159.11,27298.17,27844.07,171527.78
10/24/2023,XRP,3030.22,3056.71,2926.62,3030.37,1628641.82
4/12/2023,ADA,14773.09,14912.06,14768.06,14871.73,1760572.16
11/28/2023,BTC,7768.54,8277.79,7483.65,7844.25,1552059.9
1/30/2023,BTC,9610.67,9619.43,9003.03,9430.3,701611.84
4/20/2023,ADA,15677.74,15695.46,14665.14,14957.94,1823109.93
8/24/2023,LTC,15805.32,16806.28,15020.82,16268.26,1849791.96
12/9/2023,ADA,12378.74,12926.68,12318.88,12906.19,1943387.85
10/26/2023,ADA,12270.69,12279.07,11605.51,11706.88,1711293.69
3/16/2023,ETH,28713.27,30831.8,27516.75,29089.74,72080.94
11/19/2023,BTC,7383,7616.79,6935.94,7595.57,1162572.97
3/6/2023,LTC,17233.7,17649.35,16508.78,17376.74,1067581.55
12/5/2023,LTC,11464.11,12142.13,11399.32,12058.58,958064.2
9/4/2023,XRP,3614.95,3741.53,3461.9,3539.96,323571.7
9/30/2023,ETH,19106.55,20514.18,17827.22,18412.64,1007262.4
1/31/2023,LTC,18245.33,18319.63,17508.96,17647.16,1939487.08
11/25/2023,XRP,3988.86,4097.43,3858.73,3903.64,1884073.35
8/17/2023,LTC,14924.35,15303.06,14143.3,14235.81,1549452.26
9/9/2023,BTC,8874.68,9431.27,8527.18,9158.65,1230764.78
7/22/2023,ADA,8943.93,9244.99,8654.31,8974.14,951730.17
12/21/2023,XRP,3898.87,4206.84,3736.52,4062.79,190011.92
1/2/2023,ETH,21944.38,22292.17,20882.83,21688.03,1122774.05
